player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,S
player=0,MOV:H,S
player=1,MOV:C,N
winner=2
